Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-December-2021,3845.00,3858.30,3776.90,3786.90,3826.313111210239165494,29143,2871,111510243.00,10473,35.94,81.40,-58.10
9-December-2021,3870.00,3870.00,3809.95,3827.20,3830.102928509905254091,4644,926,17786998.00,1024,22.05,60.05,-42.80
8-December-2021,3830.00,3851.20,3771.00,3832.30,3817.426296064959400374,9606,1362,36670197.00,1472,15.32,80.20,2.30
7-December-2021,3738.00,3804.10,3715.90,3791.75,3762.365853658536585365,10660,1724,40106820.00,1882,17.65,88.20,53.75
6-December-2021,3763.45,3894.00,3695.50,3706.00,3796.665417942536973092,30698,5247,116550035.00,6532,21.28,198.50,-57.45
3-December-2021,3799.00,3849.00,3765.80,3800.75,3810.550961029800740610,11342,1617,43219269.00,1407,12.41,83.20,1.75
2-December-2021,3709.00,3770.80,3684.30,3762.60,3736.681014108715892000,13963,2525,52175277.00,4264,30.54,86.50,53.60
1-December-2021,3710.00,3750.40,3672.95,3700.95,3712.650794606308692511,16612,2780,61674555.00,3398,20.46,77.45,-9.05
30-November-2021,3646.20,3744.05,3633.65,3651.75,3697.404841513976193660,14954,2688,55290992.00,4088,27.34,110.40,5.55
29-November-2021,3581.00,3712.60,3530.85,3639.85,3622.183968024869545908,18014,3040,65250022.00,2134,11.85,181.75,58.85
26-November-2021,3740.00,3744.90,3603.50,3658.15,3665.206308344384637387,38457,8139,140952839.00,8244,21.44,141.40,-81.85
25-November-2021,3758.00,3800.50,3736.35,3758.60,3761.727913162245704837,13911,2682,52329397.00,3087,22.19,64.15,0.60
24-November-2021,3843.40,3843.40,3756.45,3768.35,3792.943263819927176431,15105,2784,57292408.00,5377,35.60,86.95,-75.05
23-November-2021,3741.00,3872.50,3709.60,3804.15,3814.041065735539699407,26348,4149,100492354.00,5733,21.76,162.90,63.15
22-November-2021,3854.90,3862.25,3676.65,3745.10,3781.951725291264841964,17939,2954,67844432.00,1740,9.70,185.60,-109.80
18-November-2021,3919.75,3949.00,3738.05,3814.35,3772.530730520378255820,90415,4104,341093366.00,12026,13.30,210.95,-105.40
17-November-2021,3993.90,4004.35,3906.55,3919.75,3940.316657443276148312,18070,3503,71201522.00,6661,36.86,97.80,-74.15
16-November-2021,4022.00,4077.85,3985.90,4013.35,4033.872985410751003622,51065,4561,205989724.00,10031,19.64,91.95,-8.65
15-November-2021,4050.00,4050.00,3964.60,3999.95,3994.870620182200420462,45664,3942,182421772.00,9736,21.32,85.40,-50.05
12-November-2021,3910.00,4028.60,3910.00,4004.90,3991.585078963400346782,21339,3128,85176434.00,3928,18.41,118.60,94.90
11-November-2021,3887.00,3919.45,3846.60,3898.95,3884.367007477491225392,6553,1148,25454257.00,1041,15.89,72.85,11.95
10-November-2021,3917.25,3933.65,3854.10,3874.45,3904.576789201120638424,11779,1510,45992010.00,2117,17.97,79.55,-42.80
9-November-2021,3878.50,3916.15,3852.65,3901.90,3884.685485505777417393,9866,1366,38326307.00,2056,20.84,63.50,23.40
8-November-2021,3790.75,3909.00,3760.00,3872.35,3845.402169546002410606,32357,5096,124425678.00,15730,48.61,149.00,81.60
4-November-2021,3785.00,3790.85,3759.05,3778.60,3773.668170103092783505,1552,377,5856733.00,1061,68.36,31.80,-6.40
3-November-2021,3784.00,3798.00,3714.75,3725.20,3754.855292396076093436,18451,3186,69280835.00,4860,26.34,83.25,-58.80
2-November-2021,3785.00,3792.50,3731.70,3755.50,3761.468416559965855740,9372,1220,35252482.00,1880,20.06,60.80,-29.50
1-November-2021,3726.00,3767.55,3636.00,3746.65,3708.080781029361639966,20537,4038,76152855.00,5433,26.45,131.55,20.65
29-October-2021,3738.00,3772.05,3668.90,3690.75,3724.664672334767852769,28581,5381,106454641.00,6659,23.30,103.15,-47.25
28-October-2021,3831.30,3831.30,3700.00,3728.35,3762.338797814207650273,15921,2470,59900196.00,2537,15.93,131.30,-102.95
27-October-2021,3730.00,3851.00,3718.70,3780.50,3788.823918237324130607,37670,5557,142724997.00,12009,31.88,132.30,50.50
26-October-2021,3664.75,3729.35,3649.80,3716.55,3688.787483496171111697,18935,2646,69847191.00,4684,24.74,79.55,51.80
25-October-2021,3735.00,3740.00,3590.00,3669.75,3655.045899893503727369,56340,9756,205925286.00,13731,24.37,150.00,-65.25
22-October-2021,3929.00,3929.00,3679.35,3702.80,3770.468455578651837054,37043,5379,139669463.00,10148,27.40,249.65,-226.20
21-October-2021,4026.50,4026.50,3686.90,3867.30,3808.324395161290322580,104160,13693,396675069.00,10718,10.29,339.60,-159.20
20-October-2021,4334.60,4340.00,3901.15,3965.15,4194.737711791147994467,231360,26314,970494517.00,93813,40.55,438.85,-369.45
19-October-2021,4420.00,4447.00,4282.00,4334.60,4349.664017440737367883,36237,5870,157618775.00,10607,29.27,165.00,-85.40
18-October-2021,4548.00,4560.00,4335.40,4369.35,4400.634434478232334281,22855,3058,100576500.00,4223,18.48,224.60,-178.65
14-October-2021,4531.25,4567.60,4395.05,4409.25,4469.604208252119390367,42583,7253,190329156.00,10841,25.46,172.55,-122.00
13-October-2021,4293.00,4577.45,4267.55,4526.60,4394.229326083433859671,55541,8326,244059891.00,20262,36.48,309.90,233.60
12-October-2021,4090.00,4379.00,4048.00,4277.45,4274.852666975414292330,99326,7776,424604016.00,13736,13.83,331.00,187.45
11-October-2021,4036.00,4116.00,4022.00,4061.70,4027.211443770535558153,108653,4164,437568605.00,92387,85.03,94.00,25.70
8-October-2021,3981.15,4036.90,3981.15,4011.10,4002.111865552847704509,70987,4238,284097915.00,14726,20.74,55.75,29.95
7-October-2021,3964.25,4016.35,3943.65,3974.95,3973.366680715736235104,26099,4578,103700897.00,8941,34.26,72.70,10.70
6-October-2021,4090.00,4110.00,3917.75,3935.05,3978.443160078678630129,37113,7544,147651961.00,15813,42.61,192.25,-154.95
5-October-2021,4155.00,4155.00,4061.00,4074.50,4099.313294081189959714,6454,1128,26456968.00,2622,40.63,94.00,-80.50
4-October-2021,4090.00,4155.00,4062.50,4144.75,4119.539874001229256299,13016,2083,53619931.00,1761,13.53,92.50,54.75
1-October-2021,4070.00,4125.55,4013.20,4045.70,4068.244979919678714859,11952,2015,48623664.00,1464,12.25,112.35,-24.30
30-September-2021,4108.00,4129.95,4026.15,4040.65,4065.805823654506788810,12226,2184,49708542.00,3811,31.17,103.80,-67.35
29-September-2021,3962.05,4124.00,3940.80,4072.70,4059.369635023291574329,22111,3453,89756722.00,7626,34.49,183.20,110.65
28-September-2021,4095.00,4095.00,3966.00,4004.85,4022.446872066228556797,11717,1850,47131010.00,2790,23.81,129.00,-90.15
27-September-2021,4135.00,4140.05,4046.05,4071.80,4081.676030202201177373,15628,3218,63788433.00,4457,28.52,94.00,-63.20
24-September-2021,4199.00,4199.00,4068.80,4118.30,4138.362720900385033073,10129,1213,41917476.00,2821,27.85,130.20,-80.70
23-September-2021,4178.00,4234.85,4139.00,4177.00,4127.487726712093333602,98914,3044,408266321.00,86204,87.15,95.85,-1.00
22-September-2021,4142.20,4180.00,4096.85,4110.00,4137.603460706560922855,9709,1580,40171992.00,2599,26.77,83.15,-32.20
21-September-2021,4080.00,4153.80,3994.55,4137.40,4061.062114483098939057,16212,2091,65837939.00,2285,14.09,159.25,57.40
20-September-2021,4084.00,4201.00,4035.60,4082.45,4133.824194524277718953,26444,3963,109314847.00,6280,23.75,165.40,-1.55
17-September-2021,4120.00,4271.00,4091.00,4104.60,4184.633459262332670932,45793,7090,191626920.00,12713,27.76,180.00,-15.40
16-September-2021,4170.00,4190.35,4090.35,4097.15,4134.743775406504065040,7872,1315,32548703.00,2115,26.87,100.00,-72.85
15-September-2021,4132.65,4207.00,4112.05,4160.35,4161.410204971652856519,22930,3138,95421136.00,8871,38.69,94.95,27.70
14-September-2021,4133.00,4162.90,4092.05,4116.00,4102.038390339760202773,35113,2479,144034874.00,4750,13.53,70.85,-17.00
13-September-2021,4099.10,4139.00,4070.75,4135.80,4115.618831854012786295,16111,2730,66306735.00,5900,36.62,68.25,36.70
9-September-2021,4063.25,4143.15,4034.45,4099.10,4068.766616112052814702,44836,3231,182427220.00,11756,26.22,108.70,35.85
8-September-2021,4109.00,4109.00,4010.00,4050.15,4062.171609190574200865,47614,3179,193416239.00,12332,25.90,99.00,-58.85
7-September-2021,4159.00,4180.90,4065.00,4077.25,4151.090582056139142414,580700,2709,2410538301.00,544168,93.71,115.90,-81.75
6-September-2021,4125.00,4207.55,4081.35,4152.95,4142.826140264835703776,16312,2071,67577780.00,1965,12.05,126.20,27.95
3-September-2021,4140.00,4173.20,4050.55,4112.35,4121.300697318442088553,17639,2637,72695623.00,2906,16.47,122.65,-27.65
2-September-2021,4002.65,4130.95,4002.65,4113.10,4099.889782118707738542,39930,3537,163708599.00,10686,26.76,128.30,110.45
1-September-2021,4009.00,4081.10,3978.75,4000.80,4018.530290413240345581,19214,3217,77212041.00,5030,26.18,102.35,-8.20
31-August-2021,3900.00,4015.00,3885.60,3995.95,3954.398574732762392948,31994,4788,126517028.00,10624,33.21,129.40,95.95
30-August-2021,3840.00,3920.00,3819.15,3907.70,3878.105820418786229740,16906,2946,65563257.00,3421,20.24,100.85,67.70
27-August-2021,3840.00,3840.00,3731.75,3812.25,3784.272406545563729169,13322,2222,50414077.00,1797,13.49,108.25,-27.75
